company,title,count,title_norm,manual_department
UMB Bank,Customer Service Specialist,17,customer service specialist,
Travelers,Senior Paralegal,25,senior paralegal,
Suntrust bank,Fraud analyst,16,fraud analyst,
Freelance Web Developer,Web Developer,27,web developer,
PrimeLending,Branch Manager,54,branch manager,
Comerica Bank,Teller,89,teller,
Deloitte Canada,Senior Accountant,71,senior accountant,
Crédit Mutuel,Chargé de clientèle,30,charg de client le,
UBS,Equity Sales,51,equity sales,
Gold Star Mortgage Financial Group,Branch Manager,15,branch manager,
Peoples Bank,Teller,66,teller,
CIBC,Specialist,16,specialist,
JP Morgan Chase,Assistant Vice President,221,assistant vice president,
SunTrust,Executive Vice President,13,executive vice president,
Standard Chartered Bank,Product Manager,53,product manager,
Cognizant,Senior Associate-Projects,12,senior associate-projects,
State Farm Insurance,Claims Specialist,71,claims specialist,
Nationwide Insurance,Claims Director,29,claims director,
BNP Paribas,Technicien Support,14,technicien support,
Maltem Consulting Group,Senior Consultant,13,senior consultant,
Microsoft,Analyst,18,analyst,
Wells Fargo Bank,Project Manager,342,project manager,
NBT Bank,Branch Manager,86,branch manager,
Allstate,Technical Support Analyst,39,technical support analyst,
UPMC,Recruiter,13,recruiter,
Walt Disney World,Disney College Program,61,disney college program,
Deloitte Consulting,Engagement Manager,16,engagement manager,
IBM,Mainframe Operator,18,mainframe operator,
Volt Technical Resources,Technical Recruiter,24,technical recruiter,
Capital one,Sr QA Analyst,12,sr qa analyst,
BNP Paribas,Employe,34,employe,
Accenture,Data Engineer,13,data engineer,
Deloitte,Audit Senior Assistant,276,audit senior assistant,
GEICO,Telephone Claims Representative,14,telephone claims representative,
Bank of America Merrill Lynch,Quantitative Analyst,63,quantitative analyst,
HSBC,Systems Engineer,42,systems engineer,
Trans World Entertainment,Assistant Manager,13,assistant manager,
Champs Sports,Sales Representative,13,sales representative,
First Federal,Personal Banker,16,personal banker,
5LINX Enterprises Inc.,Executive Trainer,14,executive trainer,
Accredited Home Lenders,Corporate Underwriter,13,corporate underwriter,
CIBC,Asset Specialist,19,asset specialist,
Bank of America,Vice President and Manager,24,vice president and manager,
LCL,Conseiller clientèle particuliers,54,conseiller client le particuliers,
Rabobank,assurantie adviseur,23,assurantie adviseur,
TD,Enterprise Architect,13,enterprise architect,
Northeastern University,Student,42,student,
Citigroup,Investment Banking,41,investment banking,
City National Bank,Assistant Vice President,119,assistant vice president,
J.P. Morgan,Investment Banking Spring Intern,17,investment banking spring intern,
Morgan Stanley,Executive Director Human Resources,14,executive director human resources,
Jump Trading LLC,Quantitative Researcher,13,quantitative researcher,
HSBC,Junior Software Engineer,16,junior software engineer,
Bank of America,Senior Programmer/Analyst,20,senior programmer/analyst,
Thomson Reuters,Intern,85,intern,
People's United Bank,Call Center Representative,14,call center representative,
Merrill Lynch,Assistant Vice President,854,assistant vice president,
EY,Winter Intern,19,winter intern,
Charles River Associates,Analyst,44,analyst,
JPMorgan Chase & Co.,Licensed Banker,147,licensed banker,
Greater Bay Bank,Vice President,15,vice president,
Wells Fargo,Quantitative Analytics Intern,12,quantitative analytics intern,
Wells Fargo,Broker Associate,18,broker associate,
Mars,Territory sales expert,24,territory sales expert,
Cognizant Technology Solutions,Director,22,director,
Goldman Sachs,equity trading,12,equity trading,
Northwestern Mutual,Managing Director & Financial Advisor,12,managing director & financial advisor,
AIG,Financial Analyst Intern,30,financial analyst intern,
U.S. Trust,"Vice President, Private Client Associate",16,vice president private client associate,
